Date of event,victims_isr_R,occurence_R,victims_pal_R,occurrence_pal_R,lnvic_R,lnvic_pal_R,lnvic_t_y_R,lnvic_pal_y_R,occurrence_t_y_R,occurrence_pal_t_y_R,occurrence_1_R,occurrence_2_7_R,occurrence_8_14_R,occurrence_pal_1_R,occurrence_pal_2_7_R,occurrence_pal_8_14_R
2000-09-29,5,1.0,1,1.0,1.791759469228055,0.6931471805599453,1.791759469228055,0.6931471805599453,1,1,0,0,0,0,0,0
2000-09-30,11,1.0,0,0.0,2.4849066497880004,0.0,2.833213344056216,0.6931471805599453,1,1,1,0,0,1,0,0
2000-10-01,9,1.0,1,1.0,2.302585092994046,0.6931471805599453,3.044522437723423,0.6931471805599453,1,1,1,1,0,0,1,0
2000-10-02,11,1.0,2,1.0,2.4849066497880004,1.0986122886681098,3.044522437723423,1.3862943611198906,1,1,1,1,0,1,1,0
2000-10-03,6,1.0,0,0.0,1.9459101490553132,0.0,2.8903717578961645,1.0986122886681098,1,1,1,1,0,1,1,0
2000-10-04,9,1.0,0,0.0,2.302585092994046,0.0,2.772588722239781,0.0,1,0,1,1,0,0,1,0
2000-10-05,2,1.0,0,0.0,1.0986122886681098,0.0,2.4849066497880004,0.0,1,0,1,1,0,0,1,0
2000-10-06,11,1.0,0,0.0,2.4849066497880004,0.0,2.6390573296152584,0.0,1,0,1,1,0,0,1,0
2000-10-07,2,1.0,1,1.0,1.0986122886681098,0.6931471805599453,2.6390573296152584,0.6931471805599453,1,1,1,1,1,0,1,1
2000-10-08,1,1.0,0,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,1,1,1,1,1,1,1,1
2000-10-09,0,0.0,0,0.0,0.0,0.0,0.6931471805599453,0.0,1,0,1,1,1,0,1,1
2000-10-10,2,1.0,0,0.0,1.0986122886681098,0.0,1.0986122886681098,0.0,1,0,0,1,1,0,1,1
2000-10-11,4,1.0,0,0.0,1.6094379124341003,0.0,1.9459101490553132,0.0,1,0,1,1,1,0,1,1
2000-10-12,0,0.0,2,1.0,0.0,1.0986122886681098,1.6094379124341003,1.0986122886681098,1,1,1,1,1,0,1,1
2000-10-13,2,1.0,0,0.0,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,1,1,0,1,1,1,1,1
2000-10-14,0,0.0,0,0.0,0.0,0.0,1.0986122886681098,0.0,1,0,1,1,1,0,1,1
2000-10-15,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,1
2000-10-16,3,1.0,0,0.0,1.3862943611198906,0.0,1.3862943611198906,0.0,1,0,0,1,1,0,1,1
2000-10-17,1,1.0,0,0.0,0.6931471805599453,0.0,1.6094379124341003,0.0,1,0,1,1,1,0,1,1
2000-10-18,0,0.0,0,0.0,0.0,0.0,0.6931471805599453,0.0,1,0,1,1,1,0,1,1
2000-10-19,1,1.0,1,1.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1,1,0,1,1,0,1,1
2000-10-20,10,1.0,0,0.0,2.3978952727983707,0.0,2.4849066497880004,0.6931471805599453,1,1,1,1,1,1,0,1
2000-10-21,3,1.0,0,0.0,1.3862943611198906,0.0,2.6390573296152584,0.0,1,0,1,1,1,0,1,1
2000-10-22,4,1.0,0,0.0,1.6094379124341003,0.0,2.0794415416798357,0.0,1,0,1,1,1,0,1,1
2000-10-23,1,1.0,0,0.0,0.6931471805599453,0.0,1.791759469228055,0.0,1,0,1,1,1,0,1,1
2000-10-24,3,1.0,0,0.0,1.3862943611198906,0.0,1.6094379124341003,0.0,1,0,1,1,1,0,1,1
2000-10-25,0,0.0,0,0.0,0.0,0.0,1.3862943611198906,0.0,1,0,1,1,1,0,1,1
2000-10-26,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,1
2000-10-27,5,1.0,1,1.0,1.791759469228055,0.6931471805599453,1.791759469228055,0.6931471805599453,1,1,0,1,1,0,0,1
2000-10-28,1,1.0,1,1.0,0.6931471805599453,0.6931471805599453,1.9459101490553132,1.0986122886681098,1,1,1,1,1,1,0,1
2000-10-29,6,1.0,0,0.0,1.9459101490553132,0.0,2.0794415416798357,0.6931471805599453,1,1,1,1,1,1,1,1
2000-10-30,0,0.0,1,1.0,0.0,0.6931471805599453,1.9459101490553132,0.6931471805599453,1,1,1,1,1,0,1,1
2000-10-31,5,1.0,0,0.0,1.791759469228055,0.0,1.791759469228055,0.6931471805599453,1,1,0,1,1,1,1,1
2000-11-01,7,1.0,3,1.0,2.0794415416798357,1.3862943611198906,2.5649493574615367,1.3862943611198906,1,1,1,1,1,0,1,1
2000-11-02,2,1.0,2,1.0,1.0986122886681098,1.0986122886681098,2.302585092994046,1.791759469228055,1,1,1,1,1,1,1,1
2000-11-03,4,1.0,0,0.0,1.6094379124341003,0.0,1.9459101490553132,1.0986122886681098,1,1,1,1,1,1,1,0
2000-11-04,0,0.0,0,0.0,0.0,0.0,1.6094379124341003,0.0,1,0,1,1,1,0,1,1
2000-11-05,2,1.0,0,0.0,1.0986122886681098,0.0,1.0986122886681098,0.0,1,0,0,1,1,0,1,1
2000-11-06,2,1.0,0,0.0,1.0986122886681098,0.0,1.6094379124341003,0.0,1,0,1,1,1,0,1,1
2000-11-07,2,1.0,0,0.0,1.0986122886681098,0.0,1.6094379124341003,0.0,1,0,1,1,1,0,1,1
2000-11-08,7,1.0,1,1.0,2.0794415416798357,0.6931471805599453,2.302585092994046,0.6931471805599453,1,1,1,1,1,0,1,1
2000-11-09,4,1.0,0,0.0,1.6094379124341003,0.0,2.4849066497880004,0.6931471805599453,1,1,1,1,1,1,1,1
2000-11-10,6,1.0,1,1.0,1.9459101490553132,0.6931471805599453,2.3978952727983707,0.6931471805599453,1,1,1,1,1,0,1,1
2000-11-11,8,1.0,0,0.0,2.1972245773362196,0.0,2.70805020110221,0.6931471805599453,1,1,1,1,1,1,1,1
2000-11-12,1,1.0,0,0.0,0.6931471805599453,0.0,2.302585092994046,0.0,1,0,1,1,1,0,1,1
2000-11-13,3,1.0,4,1.0,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.6094379124341003,1,1,1,1,1,0,1,1
2000-11-14,3,1.0,0,0.0,1.3862943611198906,0.0,1.9459101490553132,1.6094379124341003,1,1,1,1,1,1,1,1
2000-11-15,10,1.0,0,0.0,2.3978952727983707,0.0,2.6390573296152584,0.0,1,0,1,1,1,0,1,1
2000-11-16,2,1.0,0,0.0,1.0986122886681098,0.0,2.5649493574615367,0.0,1,0,1,1,1,0,1,1
2000-11-17,7,1.0,0,0.0,2.0794415416798357,0.0,2.302585092994046,0.0,1,0,1,1,1,0,1,1
2000-11-18,1,1.0,2,1.0,0.6931471805599453,1.0986122886681098,2.1972245773362196,1.0986122886681098,1,1,1,1,1,0,1,1
2000-11-19,2,1.0,0,0.0,1.0986122886681098,0.0,1.3862943611198906,1.0986122886681098,1,1,1,1,1,1,1,1
2000-11-20,5,1.0,2,1.0,1.791759469228055,1.0986122886681098,2.0794415416798357,1.0986122886681098,1,1,1,1,1,0,1,1
2000-11-21,6,1.0,1,1.0,1.9459101490553132,0.6931471805599453,2.4849066497880004,1.3862943611198906,1,1,1,1,1,1,1,1
