Date of event_R,month_R,year_R,dow_R,monthyear_R,victims_isr_R,victims_pal_R,occurence_R,occurrence_pal_R,occurrence_t_y_R,occurrence_pal_t_y,lnvic_R,lnvic_pal_R,lnvic_t_y_R,lnvic_pal_y_R,gaza_war_R,occurrence_pal_1_R,occurrence_pal_2_7_R,occurrence_pal_8_14_R,occurrence_1_R,occurrence_2_7_R,occurrence_8_14_R
2011-11-25,11.0,2011.0,Friday,622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,0,0,0,0,0,0,0
2011-11-26,11.0,2011.0,Saturday,622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-11-27,11.0,2011.0,Sunday,622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-11-28,11.0,2011.0,Monday,622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-11-29,11.0,2011.0,Tuesday,622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-11-30,11.0,2011.0,Wednesday,622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-01,12.0,2011.0,Thursday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-02,12.0,2011.0,Friday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-03,12.0,2011.0,Saturday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-04,12.0,2011.0,Sunday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-05,12.0,2011.0,Monday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-06,12.0,2011.0,Tuesday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2011-12-07,12.0,2011.0,Wednesday,623,1.0,0.0,1.0,0.0,1,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0,0,0,0,0,0,0
2011-12-08,12.0,2011.0,Thursday,623,2.0,0.0,1.0,0.0,1,0,1.0986122886681098,0.0,1.3862943611198906,0.0,0,0,0,0,1,0,0
2011-12-09,12.0,2011.0,Friday,623,3.0,0.0,1.0,0.0,1,0,1.3862943611198906,0.0,1.791759469228055,0.0,0,0,0,0,1,1,0
2011-12-10,12.0,2011.0,Saturday,623,0.0,0.0,0.0,0.0,1,0,0.0,0.0,1.3862943611198906,0.0,0,0,0,0,1,1,0
2011-12-11,12.0,2011.0,Sunday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2011-12-12,12.0,2011.0,Monday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
2011-12-13,12.0,2011.0,Tuesday,623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
