date,major_political_event,which_events,event_centers
2000-01-24,1,caucus,2000-01-24
2000-01-31,1,nh_primary,2000-02-01
2000-02-01,1,nh_primary,2000-02-01
2000-02-02,1,nh_primary,2000-02-01
2000-03-06,1,super_tuesday,2000-03-07
2000-03-07,1,super_tuesday,2000-03-07
2000-03-08,1,super_tuesday,2000-03-07
2000-11-05,1,general_election,2000-11-07
2000-11-06,1,general_election,2000-11-07
2000-11-07,1,general_election,2000-11-07
2000-11-08,1,general_election,2000-11-07
2000-11-09,1,general_election,2000-11-07
2001-01-20,1,inauguration,2001-01-20
2001-11-04,1,general_election,2001-11-06
2001-11-05,1,general_election,2001-11-06
2001-11-06,1,general_election,2001-11-06
2001-11-07,1,general_election,2001-11-06
2001-11-08,1,general_election,2001-11-06
2002-11-03,1,general_election,2002-11-05
2002-11-04,1,general_election,2002-11-05
2002-11-05,1,general_election,2002-11-05
2002-11-06,1,general_election,2002-11-05
2002-11-07,1,general_election,2002-11-05
2003-11-02,1,general_election,2003-11-04
2003-11-03,1,general_election,2003-11-04
2003-11-04,1,general_election,2003-11-04
2003-11-05,1,general_election,2003-11-04
2003-11-06,1,general_election,2003-11-04
2004-01-19,1,caucus,2004-01-19
2004-01-26,1,nh_primary,2004-01-27
2004-01-27,1,nh_primary,2004-01-27
2004-01-28,1,nh_primary,2004-01-27
2004-03-01,1,super_tuesday,2004-03-02
2004-03-02,1,super_tuesday,2004-03-02
2004-03-03,1,super_tuesday,2004-03-02
2004-10-31,1,general_election,2004-11-02
2004-11-01,1,general_election,2004-11-02
2004-11-02,1,general_election,2004-11-02
2004-11-03,1,general_election,2004-11-02
2004-11-04,1,general_election,2004-11-02
2005-01-20,1,inauguration,2005-01-20
2005-11-06,1,general_election,2005-11-08
2005-11-07,1,general_election,2005-11-08
2005-11-08,1,general_election,2005-11-08
2005-11-09,1,general_election,2005-11-08
2005-11-10,1,general_election,2005-11-08
2006-11-05,1,general_election,2006-11-07
2006-11-06,1,general_election,2006-11-07
2006-11-07,1,general_election,2006-11-07
2006-11-08,1,general_election,2006-11-07
2006-11-09,1,general_election,2006-11-07
2007-11-04,1,general_election,2007-11-06
2007-11-05,1,general_election,2007-11-06
2007-11-06,1,general_election,2007-11-06
2007-11-07,1,general_election,2007-11-06
2007-11-08,1,general_election,2007-11-06
2008-01-03,1,caucus,2008-01-03
2008-01-21,1,nh_primary,2008-01-22
2008-01-22,1,nh_primary,2008-01-22
2008-01-23,1,nh_primary,2008-01-22
2008-02-04,1,super_tuesday,2008-02-05
2008-02-05,1,super_tuesday,2008-02-05
2008-02-06,1,super_tuesday,2008-02-05
