	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	q9	q10	q11	q13	q15	q16	q17	q18	q24	q23	q25	q26
												
q8	-0.014	-0.033	0.065	-0.026	-0.057	0.073	0.033	0.085	0.009	-0.098	0.188	0.103
	(0.094)	(0.051)	(0.065)	(0.077)	(0.062)	(0.058)	(0.025)	(0.076)	(0.075)	(0.074)	(0.145)	(0.153)
q8_palestine	-0.064	0.102	-0.017	0.008	-0.034	-0.022	0.015	0.035	0.052	0.079	-0.273*	-0.083
	(0.090)	(0.072)	(0.078)	(0.103)	(0.090)	(0.091)	(0.045)	(0.098)	(0.088)	(0.109)	(0.155)	(0.188)
otherdays	-0.109***	-0.024	-0.499***	-0.364***	-0.340***	-0.202***	0.035	-0.177***	-0.033	-0.100*	-0.008	0.084
	(0.040)	(0.040)	(0.047)	(0.064)	(0.060)	(0.052)	(0.037)	(0.056)	(0.054)	(0.056)	(0.131)	(0.074)
q4	0.018	0.067*	0.089**	0.141***	0.136***	0.091**	0.021	0.094**	0.084*	0.168***	0.304***	0.005
	(0.036)	(0.040)	(0.041)	(0.041)	(0.039)	(0.037)	(0.028)	(0.043)	(0.045)	(0.054)	(0.075)	(0.078)
q6	0.057	0.045*	0.189***	0.249***	0.143***	0.095***	0.047**	0.249***	0.130***	0.130***	0.292***	0.231***
	(0.036)	(0.024)	(0.041)	(0.037)	(0.047)	(0.032)	(0.021)	(0.037)	(0.048)	(0.049)	(0.070)	(0.066)
												
Observations	755	755	755	755	755	755	755	755	755	755	755	755
R-squared	0.120	0.194	0.370	0.330	0.471	0.342	0.045	0.184	0.069	0.152	0.297	0.032
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
