q smallest								
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	q12	q14	q19	q20	q21_q22	q_info	q_images	q_personal_touch
								
q8	0.273***	-0.002	0.220***	0.162**	0.096**	0.012	0.059**	0.114***
	(0.0526)	(0.098)	(0.062)	(0.071)	(0.042)	(0.065)	(0.029)	(0.034)
q8_palestine	-0.345***	0.070	-0.099	0.053	-0.074	0.020	0.014	-0.070
	(0.0957)	(0.124)	(0.087)	(0.094)	(0.086)	(0.080)	(0.040)	(0.048)
otherdays	-0.326***	-0.271***	-0.052	0.011	0.030	-0.378***	-0.056***	0.003
	(0.0639)	(0.062)	(0.041)	(0.041)	(0.055)	(0.047)	(0.019)	(0.029)
q4	0.0842**	0.049	0.045	0.087***	0.023	0.093***	0.049***	0.028
	(0.0399)	(0.048)	(0.036)	(0.032)	(0.044)	(0.034)	(0.013)	(0.025)
q6	0.187***	0.202***	0.133***	0.086***	0.127***	0.213***	0.079***	0.096***
	(0.0309)	(0.047)	(0.031)	(0.030)	(0.038)	(0.033)	(0.012)	(0.020)
								
Observations	755	755	755	755	755	755	755	755
R-squared	0.337	0.198	0.108	0.099	0.057	0.413	0.222	0.114
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
