q26 smallest												
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	q9	q10	q11	q13	q15	q16	q17	q18	q24	q23	q25	q26
												
q8	-0.074	-0.043	0.049	-0.047	-0.062	0.068	0.027	0.083	-0.032	-0.085	0.043	0.151
	(0.112)	(0.061)	(0.069)	(0.084)	(0.065)	(0.068)	(0.023)	(0.081)	(0.088)	(0.076)	(0.161)	(0.165)
												
Observations	232	232	232	232	232	232	232	232	232	232	232	232
R-squared	0.125	0.195	0.033	0.067	0.466	0.369	0.065	0.041	0.036	0.163	0.412	0.026
mean same day	0.242	0.126	0.712	0.717	0.525	0.364	0.0101	0.404	0.273	0.510	1.394	-0.106
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
